Model,Accuracy,Precision,Recall,F1,ROC-AUC,Best Threshold,Threshold Validation Accuracy,CV Accuracy
CatBoost Raw,0.8041163946061036,0.6655405405405406,0.5267379679144385,0.5880597014925373,0.8449882456276319,0.49000000000000027,0.8225377107364685,0.8043078520786218
Random Forest,0.7842441447835344,0.6073619631901841,0.5294117647058824,0.5657142857142857,0.8256632824407761,0.5500000000000003,0.8695652173913043,0.8589042135528409
XGBoost,0.7828246983676366,0.5913978494623656,0.5882352941176471,0.5898123324396782,0.8269653052261747,0.5000000000000002,0.8683574879227053,0.862167053431995
Logistic Regression,0.7821149751596878,0.5848101265822785,0.6176470588235294,0.6007802340702211,0.8382985868919373,0.46000000000000024,0.8592995169082126,0.8546765766160223
Soft Voting Ensemble,0.7806955287437899,0.5953079178885631,0.5427807486631016,0.5678321678321678,0.828879588726136,0.5300000000000002,0.9218410244020295,0.8604753808057367
Gradient Boosting,0.7771469127040455,0.5949367088607594,0.5026737967914439,0.5449275362318841,0.8185292825957787,0.5700000000000003,0.8683574879227053,0.8603548754323743
