Model,Accuracy,Precision,Recall,F1,ROC-AUC,Best Threshold,Threshold Validation Accuracy,CV Accuracy
XGBoost,0.8041163946061036,0.6655405405405406,0.5267379679144385,0.5880597014925373,0.8472370766488413,0.49000000000000027,0.8198757763975155,0.806887932406726
CatBoost Raw,0.8041163946061036,0.6655405405405406,0.5267379679144385,0.5880597014925373,0.8449882456276319,0.49000000000000027,0.8225377107364685,0.8043078520786218
Soft Voting Ensemble,0.8026969481902059,0.6666666666666666,0.5133689839572193,0.5800604229607251,0.8475341651812239,0.4900000000000002,0.8312034078807242,0.8042853623030801
Gradient Boosting,0.8026969481902059,0.6379310344827587,0.5935828877005348,0.6149584487534626,0.8460370973158697,0.45000000000000023,0.8198757763975155,0.8052899837825315
Logistic Regression,0.8005677785663591,0.654485049833887,0.5267379679144385,0.5837037037037037,0.8436900979100468,0.49000000000000027,0.8216503992901508,0.8075987271887672
Random Forest,0.7920511000709723,0.6097560975609756,0.6016042780748663,0.6056527590847914,0.842049652535586,0.4200000000000002,0.8225377107364685,0.7999673759379418
