Model,Accuracy,Precision,Recall,F1,ROC-AUC,Best Threshold,Threshold Validation Accuracy,CV Accuracy
Logistic Regression,0.7977288857345636,0.6205962059620597,0.6122994652406417,0.6164199192462988,0.84104471828257,0.48000000000000026,0.8611111111111112,0.8555227169899441
LightGBM,0.7821149751596878,0.6105610561056105,0.4946524064171123,0.5465288035450517,0.8219600093001628,0.5900000000000003,0.8756038647342995,0.8607172672475445
Soft Voting Ensemble,0.7778566359119943,0.5921450151057401,0.5240641711229946,0.5560283687943263,0.8273243948435764,0.5400000000000003,0.9752355641459289,0.8599516178466659
Gradient Boosting,0.7764371894960965,0.5919003115264797,0.5080213903743316,0.5467625899280576,0.8117466222325558,0.5600000000000003,0.8677536231884058,0.86119919144154
Random Forest,0.7743080198722498,0.5838323353293413,0.5213903743315508,0.5508474576271186,0.8279392389366814,0.5600000000000003,0.8756038647342995,0.8595082242363208
XGBoost,0.7743080198722498,0.589171974522293,0.4946524064171123,0.5377906976744186,0.8173215531271798,0.5700000000000003,0.8719806763285024,0.859629362056132
